Row,Filename_x,topic_tag_x,Set_x,Filename_y,topic_tag_y,Set_y
2686,MM3output_id13_delay1.5.mp4,対戦風景,Set592,MF23output_id6_delay-1.25.mp4,対戦風景,Set(2)51
2677,MM3output_id13_delay-1.25.mp4,対戦風景,Set593,MF21output_id3_delay1.0.mp4,対戦風景,Set(2)25
2042,FF1output_id43_delay-1.0.mp4,アイテム,Set593,MF21output_id18_delay-0.75.mp4,対戦風景,Set(2)58
3220,MM3output_id22_delay-0.5.mp4,対戦風景,Set593,MM1output_id10_delay-0.5.mp4,対戦風景,Set(2)72
2093,FF1output_id43_delay0.0.mp4,アイテム,Set593,FF3output_id5_delay-0.5.mp4,アイテム,Set(2)88
3475,MM3output_id26_delay0.75.mp4,アイテム,Set593,FF2output_id26_delay1.75.mp4,対戦風景,Set(2)93
637,FF1output_id19_delay-1.25.mp4,アイテム,Set594,FF1output_id10_delay1.0.mp4,対戦風景,Set(2)78
2251,FF1output_id47_delay0.75.mp4,対戦結果,Set594,FF3output_id29_delay1.75.mp4,ファイター,Set(2)35
2497,MM3output_id8_delay-1.25.mp4,アイテム,Set595,FF1output_id32_delay-1.0.mp4,対戦風景,Set(2)122
1938,FF1output_id41_delay0.5.mp4,対戦風景,Set595,MF21output_id5_delay1.75.mp4,アイテム,Set(2)98
331,FF1output_id14_delay0.75.mp4,アイテム,Set595,FF1output_id39_delay1.75.mp4,対戦風景,Set(2)102
2468,MM3output_id8_delay1.0.mp4,アイテム,Set595,FF2output_id11_delay-1.5.mp4,アイテム,Set(2)96
188,FF1output_id12_delay1.0.mp4,アイテム,Set595,MM2output_id28_delay-1.5.mp4,対戦風景,Set(2)52
225,FF1output_id12_delay1.25.mp4,アイテム,Set595,MF21output_id20_delay0.5.mp4,対戦風景,Set(2)68
778,FF1output_id21_delay1.5.mp4,対戦風景,Set595,FF3output_id16_delay0.75.mp4,アイテム,Set(2)88
1645,FF1output_id36_delay-1.25.mp4,対戦風景,Set596,FF1output_id22_delay1.0.mp4,ファイター,Set(2)8
1745,FF1output_id38_delay0.0.mp4,対戦風景,Set596,MF13output_id17_delay1.5.mp4,アイテム,Set(2)103
1153,FF1output_id28_delay-1.25.mp4,対戦風景,Set597,MF24output_id5_delay-1.0.mp4,ファイター,Set(2)128
3192,MM3output_id22_delay-1.5.mp4,対戦風景,Set598,MM2output_id30_delay-1.0.mp4,対戦風景,Set(2)25
1639,FF1output_id36_delay0.75.mp4,対戦風景,Set598,MM1output_id23_delay0.0.mp4,対戦風景,Set(2)99
2816,MM3output_id15_delay1.0.mp4,対戦風景,Set598,MF13output_id31_delay0.5.mp4,対戦風景,Set(2)35
1312,FF1output_id30_delay-0.5.mp4,ファイター,Set599,MM3output_id23_delay1.5.mp4,対戦風景,Set(2)24
2539,MM3output_id9_delay0.75.mp4,対戦風景,Set599,FF2output_id10_delay1.75.mp4,アイテム,Set(2)75
